icdCode,description
A000,"CholeraduetoVibriocholerae01,biovarcholerae"
A001,"CholeraduetoVibriocholerae01,biovareltor"
A009,"Cholera,unspecified"
A0100,"Typhoidfever,unspecified"
A0101,Typhoidmeningitis
A0102,Typhoidfeverwithheartinvolvement
A0103,Typhoidpneumonia
A0104,Typhoidarthritis
A0105,Typhoidosteomyelitis
A0109,Typhoidfeverwithothercomplications
A011,ParatyphoidfeverA
A012,ParatyphoidfeverB
A013,ParatyphoidfeverC
A014,"Paratyphoidfever,unspecified"
A020,Salmonellaenteritis
A021,Salmonellasepsis
A0220,"Localizedsalmonellainfection,unspecified"
A0221,Salmonellameningitis
A0222,Salmonellapneumonia
A0223,Salmonellaarthritis
A0224,Salmonellaosteomyelitis
A0225,Salmonellapyelonephritis
A0229,Salmonellawithotherlocalizedinfection
A028,Otherspecifiedsalmonellainfections
A029,"Salmonellainfection,unspecified"
A030,ShigellosisduetoShigelladysenteriae
A031,ShigellosisduetoShigellaflexneri
A032,ShigellosisduetoShigellaboydii
A033,ShigellosisduetoShigellasonnei
A038,Othershigellosis
A039,"Shigellosis,unspecified"
A040,EnteropathogenicEscherichiacoliinfection
A041,EnterotoxigenicEscherichiacoliinfection
A042,EnteroinvasiveEscherichiacoliinfection
A043,EnterohemorrhagicEscherichiacoliinfection
A044,OtherintestinalEscherichiacoliinfections
A045,Campylobacterenteritis
A046,EnteritisduetoYersiniaenterocolitica
A0471,"EnterocolitisduetoClostridiumdifficile,recurrent"
A0472,"EnterocolitisduetoClostridiumdifficile,notspecifiedasrecurrent"
A048,Otherspecifiedbacterialintestinalinfections
A049,"Bacterialintestinalinfection,unspecified"
A050,Foodbornestaphylococcalintoxication
A051,Botulismfoodpoisoning
A052,FoodborneClostridiumperfringens[Clostridiumwelchii]intoxication
A053,FoodborneVibrioparahaemolyticusintoxication
A054,FoodborneBacilluscereusintoxication
A055,FoodborneVibriovulnificusintoxication
A058,Otherspecifiedbacterialfoodborneintoxications
A059,"Bacterialfoodborneintoxication,unspecified"
A060,Acuteamebicdysentery
A061,Chronicintestinalamebiasis
A062,Amebicnondysentericcolitis
A063,Amebomaofintestine
A064,Amebicliverabscess
A065,Amebiclungabscess
A066,Amebicbrainabscess
A067,Cutaneousamebiasis
A0681,Amebiccystitis
A0682,Otheramebicgenitourinaryinfections
A0689,Otheramebicinfections
A069,"Amebiasis,unspecified"
A070,Balantidiasis
A071,Giardiasis[lambliasis]
A072,Cryptosporidiosis
A073,Isosporiasis
A074,Cyclosporiasis
A078,Otherspecifiedprotozoalintestinaldiseases
